Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,65539
1,0,38,23,65539
2,0,67,58,65539
3,0,69,109,65539
4,0,103,134,65539
5,0,31,254,65539
6,0,27,303,65539
7,0,34,344,65539
8,0,60,379,65539
9,0,127,379,65539
10,0,194,379,65539
13,0,196,379,0
14,0,233,383,0
15,11,195,447,0
16,125,145,440,0
17,263,128,374,0
18,336,99,381,65539
19,353,116,409,65539
20,358,171,419,65539
23,358,173,419,0
24,358,194,420,0
25,359,266,420,0
26,360,338,420,0
27,362,410,420,0
28,364,487,420,0
29,365,551,420,0
30,368,621,420,0
31,371,653,420,0
32,373,728,420,0
33,376,802,420,0
34,379,875,420,0
35,382,947,420,0
36,384,1019,420,0
37,387,1080,420,0
38,388,1151,420,0
39,391,1214,420,0
40,394,1272,420,0
41,394,1310,420,0
42,397,1380,420,0
43,401,1451,420,0
44,403,1526,420,0
45,407,1596,420,0
46,408,1665,420,0
47,412,1724,420,0
48,416,1786,420,0
49,416,1849,420,0
50,419,1906,420,0
51,420,1929,420,0
52,420,1994,420,0
53,426,2055,420,0
54,426,2121,420,0
55,426,2197,420,0
56,426,2269,420,0
57,426,2336,420,0
58,426,2402,420,0
59,426,2465,420,0
60,427,2524,420,0
61,427,2560,420,0
62,427,2634,420,0
63,427,2710,420,0
64,427,2787,420,0
65,434,2856,419,0
66,454,2924,401,0
67,461,2992,396,0
68,469,3066,388,0
69,474,3134,383,0
70,474,3207,383,0
71,474,3239,383,0
72,485,3302,376,0
73,485,3366,376,0
74,485,3437,376,0
75,485,3510,376,0
76,485,3578,376,0
77,656,3621,224,0
78,690,3690,191,0
79,696,3757,186,0
80,698,3825,184,0
81,704,3866,178,0
82,708,3937,174,0
83,709,4003,173,0
84,714,4072,168,0
85,719,4134,163,0
86,723,4205,159,0
87,725,4275,157,0
88,729,4347,153,0
89,729,4411,153,0
90,773,4468,113,0
91,841,4454,63,0
92,841,4466,63,0
93,842,4520,62,0
94,844,4576,64,0
95,844,4622,79,0
96,847,4659,97,0
97,860,4646,135,0
98,870,4518,280,0
99,870,4541,318,0
100,873,4537,372,0
